frame,ball_x,ball_y
frame_000,1064.12,244.0
frame_002,1064.61,233.63
frame_004,1065.62,225.33
frame_006,1068.83,216.93
frame_008,1070.57,209.89
frame_010,1072.27,204.1
frame_012,1072.96,198.3
frame_014,1076.0,191.41
frame_016,1076.02,186.72
frame_018,1076.25,182.66
frame_020,1080.79,180.59
frame_022,1080.79,177.18
frame_024,1083.52,176.5
frame_026,1083.9,179.02
frame_028,1085.56,174.79
frame_030,1087.27,174.11
frame_032,1089.36,176.38
frame_034,1089.38,176.73
frame_036,1093.74,178.54
frame_038,1092.38,179.22
frame_040,1095.1,185.02
frame_042,1096.13,186.72
frame_044,1097.49,190.13
frame_046,1096.11,195.49
frame_048,1095.44,198.99
frame_050,1078.41,206.14
frame_052,1062.73,212.96
frame_054,1044.68,222.84
frame_056,1028.66,234.42
frame_058,1010.26,247.71
frame_060,992.54,261.68
frame_062,975.17,279.06
frame_064,954.04,300.86
frame_066,935.98,321.31
frame_068,915.2,347.2
frame_070,898.16,371.79
frame_072,876.24,405.18
frame_074,852.39,442.95
frame_076,827.69,482.7
frame_078,803.84,520.46
frame_080,780.61,508.18
frame_082,755.28,498.03
frame_084,729.16,488.95
frame_086,702.34,482.02
frame_088,674.08,475.88
frame_090,643.3,470.55
frame_092,608.2,467.48
frame_094,572.42,464.41
frame_096,533.41,469.04
frame_098,493.79,471.58
frame_100,445.12,474.79
frame_102,397.46,486.93
frame_104,335.6,499.52
frame_106,282.12,519.41
frame_108,366.27,472.25
frame_110,453.6,427.31
frame_112,513.14,398.11
frame_114,563.91,375.03
frame_116,603.99,358.83
frame_118,640.97,348.46
frame_120,667.32,339.8
frame_122,693.15,334.68
frame_124,715.02,330.95
frame_126,736.57,328.31
frame_128,752.85,326.86
frame_130,767.87,328.33
frame_132,784.63,331.19
frame_134,794.43,331.74
frame_136,806.71,336.5
frame_138,816.11,338.96
frame_140,827.56,341.82
frame_142,835.74,347.13
frame_144,844.74,352.86
frame_146,854.14,355.72
frame_148,859.46,363.08
frame_150,868.04,361.04
frame_152,871.31,350.41
frame_154,876.22,340.59
frame_156,879.9,332.82
frame_158,884.81,325.06
frame_160,888.08,318.92
frame_162,891.32,313.63
frame_164,894.11,309.41
frame_166,899.52,305.84
frame_168,896.25,299.3
frame_170,893.39,292.75
frame_172,888.49,288.26
frame_174,883.58,281.31
frame_176,879.9,275.17
frame_178,875.4,271.9
frame_180,872.54,268.63
frame_182,866.13,264.0
frame_184,861.68,263.04
frame_186,857.34,261.46
frame_188,852.81,261.66
frame_190,848.27,262.25
frame_192,843.94,262.84
frame_194,840.78,266.39
frame_196,836.27,270.61
frame_198,830.92,276.25
frame_200,827.37,283.15
frame_202,821.46,292.62
frame_204,817.32,301.29
frame_206,812.58,313.72
frame_208,808.71,328.53
frame_210,803.32,344.01
frame_212,798.28,362.92
frame_214,793.68,384.47
frame_216,787.2,408.61
frame_218,783.67,437.46
frame_220,777.78,468.67
frame_222,773.07,502.23
frame_224,766.65,538.36
frame_226,761.88,582.3
frame_228,757.05,627.54
frame_230,747.75,619.4
frame_232,742.07,607.54
frame_234,733.61,598.52
frame_236,727.39,591.95
frame_238,718.01,587.3
frame_240,707.73,581.02
frame_242,697.21,578.98
frame_244,688.28,579.95
frame_246,677.34,580.39
frame_248,660.61,588.19
frame_250,651.19,598.79
frame_252,640.0,609.98
frame_254,627.64,624.11
frame_256,695.72,545.98
frame_258,757.17,481.03
frame_260,804.95,437.05
frame_262,843.27,402.71
frame_264,871.37,377.24
frame_266,899.61,362.06
frame_268,921.44,346.2
frame_270,942.64,334.43
frame_272,955.62,329.82
frame_274,970.9,326.18
frame_276,985.74,323.77
frame_278,996.95,323.57
frame_280,1008.19,323.97
frame_282,1017.65,324.95
frame_284,1026.53,330.28
frame_286,1034.02,333.04
frame_288,1042.5,337.18
frame_290,1049.6,342.11
frame_292,1054.52,348.42
frame_294,1060.44,354.53
frame_296,1065.96,361.43
frame_298,1070.5,367.94
frame_300,1076.15,368.87
frame_302,1078.75,361.66
frame_304,1081.93,349.41
frame_306,1084.21,341.02
frame_308,1087.26,331.46
frame_310,1090.41,323.38
frame_312,1092.38,317.66
frame_314,1093.5,312.09
frame_316,1097.52,307.15
frame_318,1099.05,303.69
frame_320,1101.16,300.45
frame_322,1102.87,298.62
frame_324,1105.04,296.91
frame_326,1106.52,294.97
frame_328,1104.92,292.46
frame_330,1102.75,288.81
frame_332,1100.24,286.41
frame_334,1098.89,285.12
frame_336,1096.72,283.15
frame_338,1095.54,283.15
frame_340,1093.76,283.55
frame_342,1090.21,284.53
frame_344,1088.83,287.1
frame_346,1084.69,290.25
frame_348,1082.72,294.0
frame_350,1079.57,300.11
frame_352,1077.0,306.22
frame_354,1075.03,314.11
frame_356,1068.72,324.17
frame_358,1066.36,334.62
frame_360,1063.0,347.04
frame_362,1059.45,360.45
frame_364,1055.31,380.17
frame_366,1051.22,397.65
frame_368,1045.9,419.91
frame_370,1041.91,443.12
frame_372,1035.68,470.21
frame_374,1029.82,500.43
frame_376,1023.0,538.08
frame_378,1018.92,576.51
frame_380,1008.93,624.01
frame_382,1006.63,642.86
frame_384,999.61,641.82
frame_386,995.66,646.59
frame_388,986.04,646.9
frame_390,979.62,651.09
frame_392,972.58,659.18
frame_394,962.95,671.52
frame_396,955.35,685.49
frame_398,945.34,712.19
frame_400,935.14,735.17
frame_402,922.45,680.82
frame_404,917.42,587.38
frame_406,909.41,517.97
frame_408,907.13,466.6
frame_410,901.56,425.9
frame_412,901.78,397.07
frame_414,898.95,373.26
frame_416,895.87,355.64
frame_418,892.17,342.23
frame_420,891.76,333.64
frame_422,889.71,325.46
frame_424,887.26,320.56
frame_426,887.43,316.35
frame_428,886.36,313.79
frame_430,883.23,314.98
frame_432,883.33,315.98
frame_434,882.23,318.11
frame_436,882.04,322.19
frame_438,881.73,324.61
frame_440,878.44,331.03
frame_442,877.99,334.61
frame_444,878.67,341.41
frame_446,876.63,347.13
frame_448,875.45,354.65
frame_450,875.94,362.37
frame_452,874.31,357.62
frame_454,874.32,346.09
frame_456,872.82,335.48
frame_458,871.7,326.53
frame_460,871.94,318.72
frame_462,871.7,312.33
frame_464,870.04,307.13
frame_466,870.28,301.69
frame_468,868.86,296.48
frame_470,868.14,294.46
frame_472,867.44,291.28
frame_474,864.36,270.22
frame_476,860.0,249.07
frame_478,856.91,226.37
frame_480,853.17,201.14
frame_482,851.89,196.48
frame_484,843.43,153.57
frame_486,845.56,142.36
frame_488,836.07,108.92
frame_490,830.18,87.34
frame_492,824.1,60.2
frame_494,819.02,39.85
frame_496,812.96,20.82
frame_498,1919,0
frame_500,1919,0
frame_502,1919,0
frame_504,1919,0
frame_506,1919,0
frame_508,1919,0
frame_510,1919,0
frame_512,1919,0
frame_514,1919,0
frame_516,1919,0
frame_518,1919,0
frame_520,1919,0
frame_522,1919,0
frame_524,1919,0
frame_526,1919,0
frame_528,1919,0
frame_530,1919,0
frame_532,1919,0
frame_534,1919,0
frame_536,1919,0
frame_538,1919,0
frame_540,1919,0
frame_542,1919,0
frame_544,1919,0
frame_546,1919,0
frame_548,1919,0
frame_550,1919,0
frame_552,1919,0
frame_554,1919,0
frame_556,1919,0
frame_558,1919,0
frame_560,1919,0
frame_562,1919,0
