frame,ball_x,ball_y
frame_000,956.77,383.12
frame_001,957.50,375.41
frame_002,958.81,369.21
frame_003,957.99,362.26
frame_004,957.99,356.54
frame_005,958.20,352.87
frame_006,958.81,347.54
frame_007,958.40,344.27
frame_008,958.81,340.18
frame_009,959.22,338.14
frame_010,959.63,334.87
frame_011,960.04,331.19
frame_012,961.26,329.55
frame_013,960.86,329.14
frame_014,961.20,329.72
frame_015,960.04,328.74
frame_016,960.04,328.74
frame_017,960.86,329.55
frame_018,960.86,330.78
frame_019,960.86,331.19
frame_020,960.86,332.42
frame_021,961.26,336.50
frame_022,962.08,339.78
frame_023,962.08,342.64
frame_024,961.67,346.32
frame_025,961.67,350.81
frame_026,961.96,356.07
frame_027,959.22,361.04
frame_028,951.45,364.31
frame_029,945.32,370.85
frame_030,937.96,377.39
frame_031,930.19,385.16
frame_032,923.65,394.56
frame_033,913.43,403.97
frame_034,905.25,415.83
frame_035,896.66,428.50
frame_036,888.08,441.58
frame_037,877.87,459.65
frame_038,867.22,479.61
frame_039,856.81,500.59
frame_040,846.42,527.50
frame_041,832.40,557.09
frame_042,818.77,556.07
frame_043,809.45,545.68
frame_044,794.58,535.63
frame_045,781.97,524.38
frame_046,767.56,518.09
frame_047,747.90,511.78
frame_048,733.17,505.06
frame_049,711.97,500.43
frame_050,691.10,497.07
frame_051,663.20,499.24
frame_052,634.98,501.28
frame_053,601.45,507.82
frame_054,660.74,472.25
frame_055,711.60,444.87
frame_056,752.33,424.41
frame_057,784.36,410.10
frame_058,810.88,400.97
frame_059,832.88,394.16
frame_060,851.56,390.04
frame_061,867.22,387.61
frame_062,879.90,385.98
frame_063,892.98,385.98
frame_064,902.80,386.39
frame_065,911.79,388.02
frame_066,921.92,392.29
frame_067,929.37,395.79
frame_068,935.81,400.52
frame_069,942.89,405.66
frame_070,948.59,409.65
frame_071,954.41,415.81
frame_072,958.29,421.52
frame_073,962.16,426.33
frame_074,965.72,432.85
frame_075,970.27,439.78
frame_076,973.58,447.54
frame_077,978.15,454.61
frame_078,981.34,461.12
frame_079,983.28,469.10
frame_080,987.71,477.51
frame_081,988.70,478.66
frame_082,990.18,469.95
frame_083,1919,0
frame_084,991.03,453.52
frame_085,993.00,448.39
frame_086,994.19,442.87
frame_087,994.98,437.55
frame_088,995.57,433.60
frame_089,996.95,429.66
frame_090,997.54,427.49
frame_091,997.93,424.33
frame_092,999.31,423.15
frame_093,994.38,420.98
frame_094,989.06,419.60
frame_095,983.54,415.46
frame_096,978.61,414.87
frame_097,972.69,412.90
frame_098,966.19,411.52
frame_099,959.68,409.74
frame_100,952.98,408.95
frame_101,945.88,407.97
frame_102,938.39,407.97
frame_103,931.48,409.15
frame_104,923.79,408.17
frame_105,915.71,408.95
frame_106,907.05,409.77
frame_107,899.34,413.09
frame_108,887.91,414.47
frame_109,879.63,417.43
frame_110,869.99,420.52
frame_111,859.21,424.49
frame_112,848.70,429.89
frame_113,836.86,436.48
frame_114,823.14,441.81
frame_115,812.92,449.76
frame_116,799.01,458.85
frame_117,783.68,468.50
frame_118,768.91,478.72
frame_119,752.16,490.65
frame_120,736.54,506.27
frame_121,717.52,519.90
frame_122,697.36,537.50
frame_123,677.48,557.94
frame_124,655.05,578.96
frame_125,632.83,602.12
frame_126,616.86,592.23
frame_127,601.07,585.38
frame_128,585.86,579.77
frame_129,567.88,574.74
frame_130,1919,0
frame_131,1919,0
frame_132,1919,0
frame_133,1919,0
frame_134,462.78,570.17
frame_135,443.00,574.41
frame_136,418.36,584.26
frame_137,418.27,574.41
frame_138,1919,0
frame_139,573.54,513.38
frame_140,631.64,491.75
frame_141,678.30,475.57
frame_142,720.67,460.66
frame_143,756.08,451.81
frame_144,789.13,443.29
frame_145,815.88,441.20
frame_146,841.60,438.18
frame_147,864.09,436.81
frame_148,883.51,435.11
frame_149,899.87,435.45
frame_150,916.88,436.52
frame_151,931.89,439.54
frame_152,944.84,441.58
frame_153,957.11,444.99
frame_154,969.03,449.42
frame_155,978.57,454.19
frame_156,1919,0
frame_157,999.02,464.41
frame_158,1006.51,469.87
frame_159,1014.69,476.00
frame_160,1023.55,482.13
frame_161,1030.36,487.92
frame_162,1035.48,479.75
frame_163,1039.56,471.57
frame_164,1043.99,464.41
frame_165,1919,0
frame_166,1051.82,454.30
frame_167,1056.94,450.10
frame_168,1060.53,446.27
frame_169,1063.75,443.19
frame_170,1067.16,442.27
frame_171,1070.91,440.90
frame_172,1074.66,439.54
frame_173,1077.39,439.54
frame_174,1080.11,440.22
frame_175,1083.18,440.56
frame_176,1085.22,442.61
frame_177,1089.65,440.90
frame_178,1093.40,433.07
frame_179,1097.49,427.96
frame_180,1102.68,422.38
frame_181,1106.01,414.67
frame_182,1110.44,410.58
frame_183,1116.57,404.79
frame_184,1121.09,398.70
frame_185,1125.12,393.73
frame_186,1130.79,389.00
frame_187,1136.24,383.32
frame_188,1142.39,378.59
frame_189,1149.01,374.09
frame_190,1156.82,369.36
frame_191,1163.45,365.10
frame_192,1170.78,361.31
frame_193,1179.54,356.58
frame_194,1187.11,353.51
frame_195,1195.15,348.06
frame_196,1203.91,348.30
frame_197,1213.14,344.75
frame_198,1224.50,343.33
frame_199,1235.14,341.91
frame_200,1245.40,341.88
frame_201,1257.62,341.68
frame_202,1271.62,342.03
frame_203,1283.41,345.70
frame_204,1296.78,346.52
frame_205,1311.82,350.23
frame_206,1327.82,354.02
frame_207,1346.56,361.17
frame_208,1362.58,368.67
frame_209,1382.00,377.53
frame_210,1402.47,387.42
frame_211,1426.24,398.65
frame_212,1448.38,414.84
frame_213,1477.83,432.93
frame_214,1506.70,452.62
frame_215,1536.01,475.50
frame_216,1572.32,499.96
frame_217,1612.31,534.14
frame_218,1652.59,571.59
frame_219,1702.75,616.81
frame_220,1757.07,662.33
frame_221,1820.43,723.47
frame_222,1888.19,792.90
frame_223,1919,0
frame_224,1919,0
frame_225,1919,0
