frame,ball_x,ball_y
frame_000,973.63,380.2
frame_002,973.51,381.74
frame_004,974.19,384.41
frame_006,975.9,387.64
frame_008,975.62,386.99
frame_010,978.46,390.13
frame_012,979.6,393.26
frame_014,981.3,396.1
frame_016,981.58,402.63
frame_018,980.73,405.18
frame_020,977.89,406.04
frame_022,974.39,407.18
frame_024,972.1,409.57
frame_026,967.93,412.86
frame_028,965.6,416.27
frame_030,964.38,422.58
frame_032,962.86,428.05
frame_034,961.13,434.75
frame_036,957.45,444.65
frame_038,955.46,453.45
frame_040,953.79,470.31
frame_042,953.7,484.86
frame_044,950.43,498.1
frame_046,951.23,520.72
frame_048,951.32,528.47
frame_050,949.95,551.64
frame_052,948.93,577.88
frame_054,950.29,606.16
frame_056,951.66,609.22
frame_058,950.63,595.25
frame_060,950.97,584.01
frame_062,952.0,572.77
frame_064,953.02,562.88
frame_066,955.4,554.71
frame_068,955.75,547.55
frame_070,958.47,539.37
frame_072,961.54,535.63
frame_074,965.97,531.88
frame_076,968.95,531.04
frame_078,973.46,532.22
frame_080,978.23,533.58
frame_082,981.98,540.4
frame_084,989.82,550.62
frame_086,998.34,563.57
frame_088,1006.85,581.28
frame_090,1017.76,603.43
frame_092,1028.34,627.25
frame_094,1043.66,652.03
frame_096,1025.94,580.6
frame_098,1015.92,529.4
frame_100,1000.89,471.82
frame_102,992.54,442.06
frame_104,985.02,423.52
frame_106,982.52,403.52
frame_108,977.94,396.81
frame_110,972.21,383.32
frame_112,969.02,373.46
frame_114,964.25,365.77
frame_116,961.39,361.35
frame_118,957.62,357.44
frame_120,953.47,356.91
frame_122,950.35,356.06
frame_124,948.36,357.48
frame_126,943.82,356.63
frame_128,942.12,360.32
frame_130,938.14,362.88
frame_132,938.14,366.28
frame_134,934.73,371.68
frame_136,932.75,375.09
frame_138,929.91,381.33
frame_140,929.05,386.16
frame_142,925.65,394.39
frame_144,925.65,398.65
frame_146,923.66,408.02
frame_148,922.47,415.54
frame_150,920.54,424.21
frame_152,919.4,431.59
frame_154,917.98,439.26
frame_156,916.56,449.76
frame_158,914.57,457.71
frame_160,913.72,466.8
frame_162,912.87,476.74
frame_164,912.3,486.39
frame_166,910.6,500.3
frame_168,1919,0
frame_170,902.65,501.72
frame_172,895.55,492.92
frame_174,887.88,486.67
frame_176,881.07,481.0
frame_178,871.7,472.48
frame_180,864.6,466.8
frame_182,853.53,460.27
frame_184,845.29,456.29
frame_186,837.23,452.18
frame_188,826.55,449.19
frame_190,816.9,445.79
frame_192,806.39,442.95
frame_194,795.32,443.23
frame_196,782.26,440.96
frame_198,772.89,441.81
frame_200,761.42,442.15
frame_202,747.25,444.46
frame_204,735.65,447.44
frame_206,722.43,452.8
frame_208,707.35,459.64
frame_210,692.7,464.41
frame_212,678.73,471.57
frame_214,660.33,481.11
frame_216,643.98,491.33
frame_218,628.75,503.55
frame_220,608.2,516.2
frame_222,591.16,531.88
frame_224,571.28,549.23
frame_226,539.01,579.71
frame_228,528.84,590.12
frame_230,506.76,611.74
frame_232,484.17,638.78
frame_234,467.65,631.77
frame_236,457.71,616.15
frame_238,446.07,602.24
frame_240,433.58,591.16
frame_242,420.52,579.24
frame_244,1919,0
frame_246,1919,0
frame_248,381.53,549.68
frame_250,368.81,547.57
frame_252,352.56,539.79
frame_254,337.72,538.38
frame_256,1919,0
frame_258,1919,0
frame_260,1919,0
frame_262,1919,0
frame_264,1919,0
frame_266,1919,0
frame_268,1919,0
frame_270,1919,0
frame_272,194.43,585.14
frame_274,178.25,598.24
frame_276,162.39,617.28
frame_278,1919,0
frame_280,291.51,568.09
frame_282,382.5,541.0
frame_284,463.66,508.31
frame_286,532.54,487.25
frame_288,557.87,478.87
frame_290,606.93,466.61
frame_292,674.15,448.94
frame_294,710.95,441.58
frame_296,744.73,437.11
frame_298,772.66,433.61
frame_300,797.99,430.59
frame_302,819.88,431.04
frame_304,838.61,428.28
frame_306,855.37,427.49
frame_308,874.7,425.12
frame_310,891.06,425.32
frame_312,909.2,427.69
frame_314,927.34,429.26
frame_316,947.26,431.63
frame_318,965.4,434.78
frame_320,984.13,439.91
frame_322,1004.44,445.63
frame_324,1021.48,451.7
frame_326,1042.42,457.85
frame_328,1059.81,466.61
frame_330,1078.98,475.6
frame_332,1100.27,486.72
frame_334,1117.31,496.66
frame_336,1138.37,508.73
frame_338,1157.3,521.27
frame_340,1177.62,535.44
frame_342,1194.77,549.36
frame_344,1218.4,565.14
frame_346,1239.4,583.97
frame_348,1245.79,587.76
frame_350,1259.17,575.25
frame_352,1276.82,556.54
frame_354,1290.79,545.8
frame_356,1302.58,537.36
